Date,Name,Signal,Prediction,Duration,Cumulative Value
2023-07-06,SWAV,262.10980580036295,0.85,year,222.7933349303085
2023-07-06,FIVN,262.7881849133884,0.84,year,220.74207532724625
2023-07-06,COIN,264.78284725581864,0.84,year,222.41759169488765
2023-07-06,OSTK,2.1174745965050317,0.57,1 month,1.206960520007868
2023-07-06,DOCU,265.3667445959365,0.85,year,225.561732906546
2023-07-06,MSTR,505.97657794096585,0.88,year,445.25938858804994
2023-07-06,MARA,619.8483957261371,0.9,year,557.8635561535234
2023-07-06,HUT,1047.791197936283,0.88,year,922.056254183929
2023-07-06,BILI,-0.8313409557139776,0.71,3 months,-0.5902520785569241
2023-07-06,ZIM,-0.5083187454200221,0.74,3 months,-0.3761558716108163
2023-07-06,UAA,-0.30795881639816153,0.74,3 months,-0.22788952413463953
2023-07-06,CNXC,-0.26723457164757874,0.77,3 months,-0.20577062016863565
2023-07-06,TGT,-0.07730312658694988,0.73,3 months,-0.05643128240847341
2023-07-06,GPS,-0.04014704553714593,0.75,3 months,-0.03011028415285945
2023-07-06,PENN,-0.0331113154011249,0.78,3 months,-0.025826826012877422
2023-07-06,SCHP,-0.013310599507384882,0.69,3 months,-0.009184313660095568
2023-07-06,AEO,-0.005879251642156373,0.78,3 months,-0.004585816280881971
2023-07-06,XPEV,318.3753159314749,0.84,year,267.4352653824389
2023-07-06,MARA,5.407898708248758,0.63,1 month,3.4069761861967174
2023-07-06,FL,-0.1670396443676889,0.43,14 days,-0.07182704707810622
2023-07-06,PACB,-0.08704734076388602,0.56,14 days,-0.04874651082777618
2023-07-06,URI,0.5271180785166358,0.35,7 days,0.18449132748082253
2023-07-06,FOXF,0.5714521913104225,0.35,7 days,0.20000826695864785
2023-07-06,EOSE,0.5723972600985221,0.32,7 days,0.18316712323152706
2023-07-06,TWST,0.5955519414836044,0.33,7 days,0.19653214068958944
2023-07-06,FTCH,0.6076882246901146,0.35,7 days,0.2126908786415401
2023-07-06,APPS,1.1231497689847054,0.46,7 days,0.5166488937329645
2023-07-06,OSTK,1.1768120898791905,0.41,7 days,0.48249295685046806
2023-07-06,MARA,2.8742130315954797,0.37,7 days,1.0634588216903276
2023-07-06,NLY,-0.11402068646916484,0.24,Today to 3 days ahead,-0.02736496475259956
2023-07-06,PACB,-0.08334319860372065,0.31,Today to 3 days ahead,-0.0258363915671534
2023-07-06,FL,-0.06988393284770657,0.24,Today to 3 days ahead,-0.016772143883449577
2023-07-06,SWK,-0.054719554561503125,0.29,Today to 3 days ahead,-0.015868670822835905
2023-07-06,SE,0.45818897211972015,0.44,7 days,0.20160314773267687
2023-07-06,UMC,-0.03890065194801443,0.3,Today to 3 days ahead,-0.01167019558440433
2023-07-06,ST,-0.01987954143796518,0.24,Today to 3 days ahead,-0.004771089945111643
2023-07-06,BNS,-0.01961156033277239,0.27,Today to 3 days ahead,-0.005295121289848545
2023-07-06,FCX,-0.017191699736088834,0.29,Today to 3 days ahead,-0.004985592923465761
2023-07-06,SCCO,-0.015592474696547629,0.26,Today to 3 days ahead,-0.004054043421102383
2023-07-06,BFH,0.21746603360261813,0.25,Today to 3 days ahead,0.05436650840065453
2023-07-06,URI,0.22230632007005946,0.25,Today to 3 days ahead,0.055576580017514865
2023-07-06,WIX,0.22432009068192077,0.25,Today to 3 days ahead,0.05608002267048019
2023-07-06,GPRE,0.24047452172854386,0.26,Today to 3 days ahead,0.06252337564942141
2023-07-06,FOXF,0.25703873665368393,0.26,Today to 3 days ahead,0.06683007152995782
2023-07-06,FTCH,0.2804714883185144,0.26,Today to 3 days ahead,0.07292258696281374
2023-07-06,SE,0.2919107161085314,0.32,Today to 3 days ahead,0.09341142915473005
